epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58869,2.95494,4.76731,1.55407,0.00177,0.08696,0.00101,0.0003,2.32408,3.91503,1.23666,4e-05,4e-05,4e-05
2,4.66577,2.86141,4.78197,1.51473,0.00176,0.08696,0.001,0.0005,2.39109,3.85063,1.21442,9.802e-05,9.802e-05,9.802e-05
3,5.76398,3.17809,4.90411,1.50773,0.00162,0.08696,0.00112,0.00045,2.7315,3.8344,1.1503,0.000153664,0.000153664,0.000153664
4,6.80657,2.09859,3.9321,1.20259,0.00362,0.21739,0.00344,0.0013,2.57465,3.69135,1.05481,0.000206932,0.000206932,0.000206932
5,7.83062,1.9964,3.50906,1.08664,0.00404,0.26087,0.00625,0.00232,2.43074,3.60449,1.04886,0.000257824,0.000257824,0.000257824
6,8.83402,1.83516,2.83069,1.0554,0.00467,0.30435,0.00784,0.00198,2.41908,3.5272,1.05014,0.00030634,0.00030634,0.00030634
7,9.8438,2.02281,2.49845,1.01792,0.00533,0.34783,0.00774,0.0026,2.19362,3.35006,1.01047,0.00035248,0.00035248,0.00035248
8,10.9491,1.70922,2.17511,0.98496,0.00533,0.34783,0.00833,0.00285,2.10446,3.29915,0.98794,0.000396244,0.000396244,0.000396244
9,11.9167,1.7997,2.14762,0.98227,0.004,0.26087,0.00599,0.00216,1.9915,3.26045,0.99154,0.000437632,0.000437632,0.000437632
10,12.8963,1.68305,1.93164,0.9797,0.00533,0.34783,0.01033,0.0029,1.99478,3.26203,0.99755,0.000476644,0.000476644,0.000476644
11,13.8906,1.43719,1.74933,0.94553,0.00481,0.30435,0.00947,0.00426,1.92011,3.21824,0.99138,0.00051328,0.00051328,0.00051328
12,14.8586,1.66242,1.73164,0.95738,0.00419,0.26087,0.0091,0.00384,1.94185,3.23928,0.99916,0.00054754,0.00054754,0.00054754
13,15.8567,1.54977,1.76815,0.95063,0.00586,0.34783,0.01088,0.00375,2.04489,3.33541,1.04157,0.000579424,0.000579424,0.000579424
14,16.8636,1.68775,1.62728,0.91133,0.00556,0.30435,0.01197,0.0054,1.89151,3.32286,1.01044,0.000608932,0.000608932,0.000608932
15,17.877,1.54768,1.49162,0.91921,0.00841,0.3913,0.01091,0.00496,1.8551,3.40894,1.01535,0.000636064,0.000636064,0.000636064
16,18.8985,1.52578,1.46949,0.90761,0.00816,0.34783,0.00699,0.00385,1.93241,3.49807,1.03406,0.00066082,0.00066082,0.00066082
17,19.8731,1.58031,1.48415,0.90597,0.00557,0.21739,0.00399,0.0023,1.88939,3.56191,1.05679,0.0006832,0.0006832,0.0006832
18,20.8057,1.57093,1.49348,0.9249,0.00565,0.21739,0.00392,0.00213,1.90905,3.54267,1.08468,0.000703204,0.000703204,0.000703204
19,21.8103,1.34809,1.32956,0.89924,0.00562,0.21739,0.00388,0.00213,1.89946,3.49509,1.12109,0.000720832,0.000720832,0.000720832
20,22.716,1.64214,1.43109,0.89058,0.00585,0.21739,0.0039,0.00213,1.88903,3.49121,1.10345,0.000736084,0.000736084,0.000736084
21,23.7127,1.52896,1.269,0.89828,0.00708,0.26087,0.00463,0.00215,1.8969,3.48766,1.11749,0.00074896,0.00074896,0.00074896
22,24.6755,1.30394,1.24128,0.89859,0.00706,0.26087,0.00488,0.00254,1.83479,3.42055,1.11145,0.00075946,0.00075946,0.00075946
23,25.6206,1.35447,1.31565,0.87199,0.0069,0.26087,0.0497,0.02979,1.73205,3.26343,1.07898,0.000767584,0.000767584,0.000767584
24,26.5666,1.2988,1.18092,0.88919,0.00631,0.26087,0.05063,0.03037,1.58638,3.14667,1.05517,0.000773332,0.000773332,0.000773332
25,27.4967,1.41699,1.34232,0.90716,0.00798,0.34783,0.05144,0.0308,1.57013,3.12511,1.03856,0.000776704,0.000776704,0.000776704
26,28.4085,1.4914,1.25455,0.88815,0.00728,0.34783,0.05448,0.03315,1.74553,3.13573,1.08155,0.0007777,0.0007777,0.0007777
27,29.3624,1.49467,1.22506,0.88243,0.00683,0.34783,0.06121,0.03995,1.80719,3.122,1.097,0.00077632,0.00077632,0.00077632
28,30.2923,1.28127,1.08561,0.87644,0.00702,0.34783,0.09574,0.0654,1.9831,3.05526,1.11366,0.000772564,0.000772564,0.000772564
29,31.2532,1.4109,1.09088,0.87391,0.00702,0.34783,0.09574,0.0654,1.9831,3.05526,1.11366,0.000766432,0.000766432,0.000766432
30,32.1529,1.3,1.10008,0.90048,0.00696,0.34783,0.21872,0.1252,2.04283,2.85062,1.1125,0.000757924,0.000757924,0.000757924
31,33.0956,1.33368,1.14863,0.88316,0.00751,0.3913,0.21982,0.12339,2.03064,2.67044,1.09946,0.00074704,0.00074704,0.00074704
32,33.9802,1.29635,1.13683,0.86828,0.68653,0.21739,0.22205,0.11732,1.9417,2.55523,1.06452,0.00073378,0.00073378,0.00073378
33,34.8625,1.39495,1.14682,0.87001,0.68653,0.21739,0.22205,0.11732,1.9417,2.55523,1.06452,0.000718144,0.000718144,0.000718144
34,35.8094,1.42965,1.07889,0.90005,1,0.19045,0.25808,0.13525,1.97781,2.47294,1.03631,0.0006932,0.0006932,0.0006932
35,36.7455,1.30588,1.11153,0.87041,1,0.18674,0.26704,0.14981,1.99152,2.37008,1.01597,0.0006536,0.0006536,0.0006536
36,37.7339,1.27565,0.99561,0.87184,1,0.1848,0.27001,0.15323,1.97265,2.33486,1.00888,0.000614,0.000614,0.000614
37,38.759,1.40471,1.09872,0.86698,1,0.1848,0.27001,0.15323,1.97265,2.33486,1.00888,0.0005744,0.0005744,0.0005744
38,39.6739,1.22936,1.0447,0.85348,1,0.17659,0.28444,0.16847,1.90015,2.24965,0.99187,0.0005348,0.0005348,0.0005348
39,40.6325,1.21058,1.09039,0.8806,0.9175,0.21739,0.35928,0.2,1.83201,2.09636,0.97849,0.0004952,0.0004952,0.0004952
40,41.5458,1.21036,0.97037,0.84697,0.85113,0.24988,0.4035,0.22375,1.84501,1.95097,0.97753,0.0004556,0.0004556,0.0004556
41,42.4207,1.25032,1.15802,0.85609,0.85113,0.24988,0.4035,0.22375,1.84501,1.95097,0.97753,0.000416,0.000416,0.000416
42,43.2551,1.21892,1.20448,0.82879,0.75701,0.30435,0.4648,0.25941,1.78932,1.72768,0.96424,0.0003764,0.0003764,0.0003764
43,44.1333,1.19542,1.19017,0.87565,0.69598,0.3913,0.49547,0.28488,1.73336,1.56606,0.94529,0.0003368,0.0003368,0.0003368
44,44.9855,1.06375,1.06408,0.86866,0.70773,0.47826,0.50598,0.29906,1.7,1.46741,0.93442,0.0002972,0.0002972,0.0002972
45,45.8847,1.09185,1.01408,0.88042,0.70773,0.47826,0.50598,0.29906,1.7,1.46741,0.93442,0.0002576,0.0002576,0.0002576
46,46.8097,1.14959,1.08122,0.86859,0.62925,0.43478,0.52035,0.31427,1.68648,1.39109,0.92919,0.000218,0.000218,0.000218
47,47.6748,1.12744,1.08674,0.8709,0.58859,0.49817,0.50903,0.30113,1.69586,1.33929,0.93021,0.0001784,0.0001784,0.0001784
48,48.5674,1.13585,1.02669,0.86593,0.60039,0.52263,0.52039,0.31167,1.67415,1.29885,0.92419,0.0001388,0.0001388,0.0001388
49,49.4654,1.07496,0.9897,0.82486,0.60039,0.52263,0.52039,0.31167,1.67415,1.29885,0.92419,9.92e-05,9.92e-05,9.92e-05
50,50.3972,0.96222,0.91931,0.8506,0.70873,0.52933,0.54748,0.30242,1.68154,1.26844,0.92326,5.96e-05,5.96e-05,5.96e-05
