epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9387,0.86447,2.54206,1.24195,0.95148,0.10656,0.68105,0.49632,0.87945,2.7713,1.2813,0.000410354,0.000410354,0.000410354
2,41.798,0.94352,1.61243,1.2908,0.66392,0.68603,0.71129,0.49639,0.98588,1.65733,1.53505,0.00079427,0.00079427,0.00079427
3,56.4546,0.98877,1.4993,1.30608,0.55814,0.46144,0.51874,0.33467,1.22979,2.67873,1.6097,0.00114519,0.00114519,0.00114519
4,70.8708,0.96752,1.39174,1.29185,0.5953,0.60242,0.65597,0.4414,1.04947,2.45103,1.4607,0.0011015,0.0011015,0.0011015
5,85.2926,0.93295,1.27025,1.2687,0.81045,0.65548,0.79879,0.53044,1.14863,1.28315,1.60471,0.001052,0.001052,0.001052
6,99.8006,0.92257,1.18948,1.25202,0.74681,0.69643,0.77264,0.57007,0.92117,1.52122,1.29922,0.0010025,0.0010025,0.0010025
7,114.262,0.93398,1.12203,1.24479,0.84874,0.72725,0.83158,0.60905,0.99951,1.04342,1.4021,0.000953,0.000953,0.000953
8,128.703,0.87297,1.06703,1.21576,0.67971,0.61498,0.68494,0.49957,1.02887,1.68197,1.38286,0.0009035,0.0009035,0.0009035
9,143.164,0.86206,1.0105,1.21141,0.84417,0.80561,0.8696,0.6412,0.95379,1.06149,1.39351,0.000854,0.000854,0.000854
10,157.621,0.82557,0.93401,1.17905,0.78426,0.7147,0.82466,0.62599,0.91916,1.48557,1.35934,0.0008045,0.0008045,0.0008045
11,171.994,0.81158,0.91379,1.17417,0.90838,0.81585,0.90785,0.7032,0.88952,0.74272,1.38125,0.000755,0.000755,0.000755
12,186.699,0.80412,0.87187,1.17268,0.83481,0.8363,0.89353,0.70043,0.8994,0.82219,1.28259,0.0007055,0.0007055,0.0007055
13,201.108,0.76899,0.82029,1.14217,0.90864,0.82922,0.91434,0.71614,0.87239,0.72431,1.3404,0.000656,0.000656,0.000656
14,215.518,0.79397,0.84567,1.16762,0.90389,0.78379,0.88482,0.70656,0.82944,1.21554,1.2567,0.0006065,0.0006065,0.0006065
15,229.918,0.7454,0.7627,1.13265,0.93088,0.84483,0.9263,0.75263,0.81487,0.60291,1.26264,0.000557,0.000557,0.000557
16,250.713,0.7049,0.74975,1.11286,0.89479,0.83161,0.90626,0.72044,0.79476,0.68056,1.24793,0.0005075,0.0005075,0.0005075
17,265.246,0.64555,0.66398,1.07281,0.88136,0.82414,0.90524,0.71189,0.91835,0.71485,1.3585,0.000458,0.000458,0.000458
18,279.791,0.63783,0.627,1.0586,0.93581,0.83144,0.91482,0.73594,0.75408,0.67503,1.20191,0.0004085,0.0004085,0.0004085
19,294.126,0.62048,0.58543,1.05186,0.88413,0.8586,0.91119,0.73524,0.91217,0.66865,1.39829,0.000359,0.000359,0.000359
20,308.477,0.60063,0.55064,1.02505,0.91918,0.86129,0.93851,0.77126,0.82248,0.58405,1.32962,0.0003095,0.0003095,0.0003095
21,322.97,0.56596,0.51258,0.99816,0.9325,0.85724,0.94263,0.77931,0.83176,0.60216,1.30018,0.00026,0.00026,0.00026
22,337.319,0.55173,0.50425,1.00366,0.947,0.86433,0.95115,0.78866,0.8075,0.63735,1.28283,0.0002105,0.0002105,0.0002105
23,351.578,0.53496,0.46859,0.98466,0.95016,0.89071,0.9534,0.78647,0.80349,0.52486,1.25706,0.000161,0.000161,0.000161
24,365.724,0.52245,0.45657,0.98868,0.94398,0.90408,0.96045,0.79743,0.80431,0.58575,1.26663,0.0001115,0.0001115,0.0001115
25,380.043,0.50914,0.44532,0.96514,0.96077,0.88706,0.95469,0.80118,0.7911,0.57059,1.25441,6.2e-05,6.2e-05,6.2e-05
